epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,32022.8,1.34746,0.66846,0.95333,0.86514,0.74961,0.83969,0.49451,1.30717,0.59791,0.97922,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,32158.8,1.34944,0.66537,0.95369,0.86709,0.74946,0.83971,0.49474,1.30728,0.59765,0.97934,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,32294.3,1.35742,0.66803,0.95595,0.86824,0.74855,0.83965,0.49492,1.30699,0.59716,0.97922,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,32429.6,1.34657,0.66365,0.95189,0.86775,0.74877,0.8396,0.49506,1.30688,0.59735,0.97902,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,32564,1.34598,0.66131,0.95187,0.86896,0.74854,0.83981,0.49496,1.30665,0.59729,0.97885,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,32699.3,1.33862,0.65794,0.95038,0.86956,0.74876,0.83991,0.49487,1.30677,0.59711,0.97904,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,32834.7,1.34686,0.66266,0.95049,0.86936,0.74983,0.84049,0.49496,1.30674,0.59694,0.97909,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,32969.2,1.33873,0.65849,0.95045,0.87001,0.74947,0.84073,0.49496,1.30648,0.59674,0.97904,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,33103.5,1.3305,0.65147,0.94894,0.87012,0.74931,0.84079,0.49501,1.30667,0.59648,0.97912,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,33240.6,1.33724,0.65165,0.94673,0.87014,0.74909,0.84068,0.49513,1.30681,0.59614,0.97914,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,33378.3,1.33246,0.6511,0.94865,0.87039,0.74878,0.84097,0.49505,1.3069,0.59595,0.9791,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,33517.2,1.32245,0.64677,0.9463,0.86982,0.74983,0.84109,0.49509,1.30696,0.59562,0.97916,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,33654.5,1.31735,0.6408,0.94502,0.87005,0.75036,0.8412,0.49521,1.30691,0.59529,0.97909,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,33793.1,1.33177,0.64859,0.94646,0.8703,0.75041,0.84113,0.49534,1.30685,0.59519,0.979,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,33930.1,1.31613,0.64123,0.94566,0.87031,0.75137,0.84117,0.49545,1.30699,0.595,0.97892,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,34067.3,1.31173,0.63553,0.94317,0.87007,0.75126,0.84122,0.49536,1.3072,0.59484,0.97901,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
